Titles	Genres
The Town[(9, 0.5080000162124634), (2, 0.36399999260902405), (0, 0.007000000216066837), (1, 0.007000000216066837), (4, 0.007000000216066837)]	['Crime', 'Drama', 'Thriller']
Sherlock Holmes[(14, 0.8370000123977661), (5, 0.008999999612569809), (9, 0.008999999612569809), (10, 0.008999999612569809), (15, 0.008999999612569809)]	['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']
The Fault in Our Stars[(11, 0.33899998664855957), (10, 0.3019999861717224), (3, 0.23800000548362732), (0, 0.007000000216066837), (1, 0.007000000216066837)]	['Drama', 'Romance']
Beauty and the Beast[(0, 0.4869999885559082), (12, 0.3840000033378601), (1, 0.007000000216066837), (2, 0.007000000216066837), (4, 0.007000000216066837)]	['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']
Ocean's Eleven[(9, 0.722000002861023), (5, 0.014999999664723873), (10, 0.014999999664723873), (15, 0.014999999664723873), (0, 0.014000000432133675)]	['Crime', 'Thriller']
Hell or High Water[(8, 0.33500000834465027), (16, 0.2590000033378601), (10, 0.20499999821186066), (15, 0.125), (4, 0.004999999888241291)]	['Action', 'Crime', 'Drama', 'Thriller', 'Western']
The Hurt Locker[(4, 0.32100000977516174), (15, 0.20200000703334808), (18, 0.1850000023841858), (8, 0.17800000309944153), (0, 0.007000000216066837)]	['Drama', 'Thriller', 'War']
The Hobbit: The Desolation of Smaug[(10, 0.36899998784065247), (3, 0.367000013589859), (5, 0.014999999664723873), (9, 0.014999999664723873), (15, 0.014999999664723873)]	['Adventure', 'Fantasy']
Midnight in Paris[(16, 0.8370000123977661), (5, 0.008999999612569809), (9, 0.008999999612569809), (10, 0.008999999612569809), (15, 0.008999999612569809)]	['Comedy', 'Fantasy', 'Romance']
Mulholland Drive[(18, 0.8989999890327454), (0, 0.004999999888241291), (1, 0.004999999888241291), (2, 0.004999999888241291), (3, 0.004999999888241291)]	['Drama', 'Mystery', 'Thriller']
Indiana Jones and the Last Crusade[(18, 0.33399999141693115), (7, 0.32899999618530273), (20, 0.24500000476837158), (0, 0.004999999888241291), (1, 0.004999999888241291)]	['Action', 'Adventure']
Finding Nemo[(0, 0.8650000095367432), (1, 0.007000000216066837), (2, 0.007000000216066837), (4, 0.007000000216066837), (5, 0.007000000216066837)]	['Animation', 'Adventure', 'Comedy', 'Family']
The Deer Hunter[(17, 0.4880000054836273), (4, 0.40299999713897705), (0, 0.006000000052154064), (1, 0.006000000052154064), (2, 0.006000000052154064)]	['Drama', 'War']
Mulan[(9, 0.5109999775886536), (18, 0.40400001406669617), (4, 0.004999999888241291), (5, 0.004999999888241291), (10, 0.004999999888241291)]	['Animation', 'Adventure', 'Family', 'Fantasy', 'Musical', 'War']
Tombstone[(0, 0.5329999923706055), (9, 0.2720000147819519), (4, 0.010999999940395355), (5, 0.010999999940395355), (10, 0.010999999940395355)]	['Action', 'Biography', 'Drama', 'History', 'Romance', 'Western']
Wreck-It Ralph[(20, 0.8650000095367432), (0, 0.007000000216066837), (1, 0.007000000216066837), (2, 0.007000000216066837), (4, 0.007000000216066837)]	['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']
Spotlight[(8, 0.421999990940094), (6, 0.2150000035762787), (16, 0.2150000035762787), (5, 0.008999999612569809), (9, 0.008999999612569809)]	['Crime', 'Drama']
Up[(5, 0.4860000014305115), (12, 0.29100000858306885), (7, 0.13300000131130219), (0, 0.004999999888241291), (1, 0.004999999888241291)]	['Animation', 'Adventure', 'Comedy', 'Family']
The Butterfly Effect[(4, 0.6050000190734863), (7, 0.17100000381469727), (11, 0.13300000131130219), (0, 0.004999999888241291), (1, 0.004999999888241291)]	['Drama', 'Sci-Fi', 'Thriller']
Captain Fantastic[(0, 0.7940000295639038), (4, 0.010999999940395355), (5, 0.010999999940395355), (9, 0.010999999940395355), (10, 0.010999999940395355)]	['Comedy', 'Drama']
Boogie Nights[(0, 0.33500000834465027), (11, 0.3140000104904175), (1, 0.2290000021457672), (2, 0.007000000216066837), (4, 0.007000000216066837)]	['Drama']
The Invisible Guest[(17, 0.6129999756813049), (9, 0.2329999953508377), (5, 0.008999999612569809), (10, 0.008999999612569809), (15, 0.008999999612569809)]	['Crime', 'Mystery', 'Thriller']
Casino[(8, 0.4580000042915344), (19, 0.4580000042915344), (4, 0.004999999888241291), (5, 0.004999999888241291), (9, 0.004999999888241291)]	['Crime', 'Drama']
Rush[(9, 0.5699999928474426), (5, 0.023000000044703484), (10, 0.023000000044703484), (15, 0.023000000044703484), (4, 0.02199999988079071)]	['Action', 'Biography', 'Drama', 'Sport']
Office Space[(16, 0.7940000295639038), (4, 0.010999999940395355), (5, 0.010999999940395355), (9, 0.010999999940395355), (10, 0.010999999940395355)]	['Comedy']
Predator[(7, 0.8640000224113464), (0, 0.007000000216066837), (1, 0.007000000216066837), (2, 0.007000000216066837), (4, 0.007000000216066837)]	['Action', 'Adventure', 'Sci-Fi', 'Thriller']
Life Is Beautiful[(13, 0.7269999980926514), (4, 0.16300000250339508), (0, 0.006000000052154064), (1, 0.006000000052154064), (2, 0.006000000052154064)]	['Comedy', 'Drama', 'Romance', 'War']
The Handmaiden[(2, 0.7940000295639038), (4, 0.010999999940395355), (5, 0.010999999940395355), (9, 0.010999999940395355), (10, 0.010999999940395355)]	['Drama', 'Romance', 'Thriller']
An American Werewolf in London[(4, 0.38600000739097595), (14, 0.3050000071525574), (6, 0.18799999356269836), (0, 0.007000000216066837), (1, 0.007000000216066837)]	['Comedy', 'Horror']
Edward Scissorhands[(3, 0.8989999890327454), (0, 0.004999999888241291), (1, 0.004999999888241291), (2, 0.004999999888241291), (4, 0.004999999888241291)]	['Drama', 'Fantasy', 'Romance']
Apocalypto[(10, 0.6069999933242798), (11, 0.2840000092983246), (0, 0.006000000052154064), (1, 0.006000000052154064), (2, 0.006000000052154064)]	['Action', 'Adventure', 'Drama', 'Thriller']
The Big Sick[(10, 0.5740000009536743), (19, 0.19300000369548798), (12, 0.16699999570846558), (0, 0.004000000189989805), (1, 0.004000000189989805)]	['Comedy', 'Drama', 'Romance']
Amélie[(13, 0.36000001430511475), (7, 0.2160000056028366), (10, 0.20499999821186066), (4, 0.13300000131130219), (0, 0.004999999888241291)]	['Comedy', 'Romance']
50/50[(8, 0.46299999952316284), (5, 0.44200000166893005), (0, 0.004999999888241291), (1, 0.004999999888241291), (2, 0.004999999888241291)]	['Comedy', 'Drama', 'Romance']
The Sound of Music[(15, 0.6150000095367432), (18, 0.23100000619888306), (5, 0.008999999612569809), (9, 0.008999999612569809), (10, 0.008999999612569809)]	['Biography', 'Drama', 'Family', 'Musical', 'Romance']
